#time(s),x(m),y(m),z(m),qx,qy,qz,qw,gt_x(m),gt_y(m),gt_z(m),gt_qx,gt_qy,gt_qz,gt_qw
77.000000,1522.220976,0.000000,0.005385,0.000000,-0.002216,0.000000,0.999998,1522.221436,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
78.000000,1582.295942,0.000000,0.008820,0.000000,-0.002188,0.000000,0.999998,1582.296387,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
79.000000,1643.931042,0.000000,0.011412,0.000000,-0.002131,0.000000,0.999998,1643.931396,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
80.000000,1707.146314,0.000000,0.013184,0.000000,-0.002051,0.000000,0.999998,1707.146729,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
81.000000,1771.961739,0.000000,0.014181,0.000000,-0.001954,0.000000,0.999998,1771.962158,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
82.000000,1838.397314,0.000000,0.014472,0.000000,-0.001845,0.000000,0.999998,1838.397705,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
83.000000,1906.473039,0.000000,0.014145,0.000000,-0.001730,0.000000,0.999999,1906.473389,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
84.000000,1976.208908,0.000000,0.013296,0.000000,-0.001613,0.000000,0.999999,1976.209229,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
85.000000,2047.624937,0.000000,0.012029,0.000000,-0.001498,0.000000,0.999999,2047.625244,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
86.000000,2120.741117,0.000000,0.010452,0.000000,-0.001390,0.000000,0.999999,2120.741455,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
87.000000,2195.577420,0.000000,0.008666,0.000000,-0.001291,0.000000,0.999999,2195.577637,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
88.000000,2272.153931,0.000000,0.006771,0.000000,-0.001203,0.000000,0.999999,2272.154297,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
89.000000,2350.490545,0.000000,0.004855,0.000000,-0.001127,0.000000,0.999999,2350.490723,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
90.000000,2430.607347,0.000000,0.002996,0.000000,-0.001064,0.000000,0.999999,2430.607666,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
91.000000,2512.524267,0.000000,0.001260,0.000000,-0.001015,0.000000,0.999999,2512.524414,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
92.000000,2596.261336,0.000000,-0.000302,0.000000,-0.000977,0.000000,1.000000,2596.261475,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
93.000000,2681.838545,0.000000,-0.001652,0.000000,-0.000952,0.000000,1.000000,2681.838623,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
94.000000,2769.275930,0.000000,-0.002765,0.000000,-0.000938,0.000000,1.000000,2769.276123,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
95.000000,2858.593441,0.000000,-0.003629,0.000000,-0.000932,0.000000,1.000000,2858.593506,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
96.000000,2949.811123,0.000000,-0.004244,0.000000,-0.000934,0.000000,1.000000,2949.811279,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
97.000000,3042.948933,0.000000,-0.004621,0.000000,-0.000943,0.000000,1.000000,3042.948975,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
98.000000,3138.026923,0.000000,-0.004775,0.000000,-0.000955,0.000000,1.000000,3138.027100,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
99.000000,3235.065056,0.000000,-0.004733,0.000000,-0.000970,0.000000,1.000000,3235.065186,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
